Iteration,QD-Score,Coverage,Maximum,Average
233,1335701.0472870865,0.06327,6854.8231200850805,211.11127663775667
234,1339124.8451976583,0.06336,6854.8231200850805,211.35177481023646
235,1341685.5268906564,0.06354,6854.8231200850805,211.15604766928809
236,1347274.3573881604,0.06396,6854.8231200850805,210.64327038589124
237,1349108.9632762624,0.0641,6854.8231200850805,210.46941704777885
238,1354789.3087835978,0.06464,6854.8231200850805,209.58993019548234
239,1356825.522748486,0.06517,6854.8231200850805,208.19787060740921
240,1360214.3551420423,0.06543,6854.8231200850805,207.8884846617824
241,1365674.7773753447,0.06604,6854.8231200850805,206.79509045659367
242,1366706.931006166,0.06615,6854.8231200850805,206.60724580592077
243,1369073.541025664,0.06642,6854.8231200850805,206.12368880241854
244,1367895.641439324,0.0669,6854.8231200850805,204.46870574578836
245,1369553.674944322,0.0673,6854.8231200850805,203.49980311208353
246,1372459.2592513785,0.06773,6854.8231200850805,202.63683142645482
247,1377274.704125021,0.06803,6854.8231200850805,202.45108101205656
248,1382702.416580138,0.06837,6854.8231200850805,202.23817706305954
249,1385331.0611028245,0.06848,6854.8231200850805,202.2971759788003
250,1386990.2841590333,0.06855,6854.8231200850805,202.33264539154388
251,1394193.7341703363,0.06889,6854.8231200850805,202.37969722315813
252,1396822.2428910995,0.06902,6854.8231200850805,202.3793455362358
253,1400650.7813732596,0.06934,6854.8231200850805,201.997516782991
254,1403070.5220650604,0.06969,6854.8231200850805,201.33025140838865
255,1404397.8101029706,0.07019,6854.8231200850805,200.08517026684294
256,1404893.9783872957,0.07032,6854.8231200850805,199.7858331039954
257,1408468.698963873,0.07056,6854.8231200850805,199.61291085088905
258,1410561.3824739067,0.07093,6854.8231200850805,198.86668299364257
259,1412806.4215816054,0.07116,6854.8231200850805,198.53940719246845
260,1413338.1873378537,0.07126,6854.8231200850805,198.335417813339
261,1414619.5256973328,0.07147,6854.8231200850805,197.93193307644225
262,1417727.5870003512,0.07202,6854.8231200850805,196.85192821443366
263,1424015.6768057202,0.07242,6854.8231200850805,196.63292968872136
264,1425119.8730169153,0.07262,6854.8231200850805,196.24344161620976
265,1424940.2994516664,0.07291,6854.8231200850805,195.43825256503447
266,1428273.613299045,0.07364,6854.8231200850805,193.95350533664381
267,1428024.2130804795,0.07471,6854.8231200850805,191.1423120171971
268,1427711.6852655709,0.07575,6854.8231200850805,188.47679013406875
269,1432939.8317841447,0.07641,6854.8231200850805,187.5330233980035
270,1434313.3155340566,0.07652,6854.8231200850805,187.44293198301838
271,1435370.60687552,0.07713,6854.8231200850805,186.0975764132659
272,1435991.2747280677,0.07775,6854.8231200850805,184.69341154058748
273,1433835.28879742,0.0786,6854.8231200850805,182.42179246786515
274,1430916.2931840552,0.07919,6854.8231200850805,180.69406404647748
275,1440569.543117793,0.08004,6854.8231200850805,179.98120228857985
276,1440593.1968219217,0.08032,6854.8231200850805,179.35672271189264
277,1441645.3559083848,0.08079,6854.8231200850805,178.4435395356337
278,1442410.4510663855,0.0815,6854.8231200850805,176.98287743145835
279,1439599.4752125,0.08193,6854.8231200850805,175.71090872848774
280,1440287.0515561667,0.08236,6854.8231200850805,174.87700965956373
281,1438327.8773519194,0.0828,6854.8231200850805,173.71109629854098
282,1441137.2279298103,0.08364,6854.8231200850805,172.30239453967124
283,1441947.1360732259,0.08378,6854.8231200850805,172.11114061509022
284,1439667.5806705086,0.08433,6854.8231200850805,170.71831859012315
285,1431700.5332850234,0.0853,6854.8231200850805,167.84296990445762
286,1429927.1380862438,0.08612,6854.8231200850805,166.0389152445708
287,1430292.5377282617,0.08689,6854.8231200850805,164.60956815839126
288,1427402.810155578,0.0874,6854.8231200850805,163.31839933130183
289,1427536.9997939705,0.0881,6854.8231200850805,162.03598181543364
290,1426203.9609487455,0.08879,6854.8231200850805,160.62664274678968
291,1428603.5166115,0.08947,6854.8231200850805,159.67402666944227
292,1419030.1848224525,0.09006,6854.8231200850805,157.56497721768292
293,1413939.825435576,0.09076,6854.8231200850805,155.78887455217892
294,1418504.5315158174,0.09172,6854.8231200850805,154.65596723896832
295,1417499.3714056348,0.09194,6854.8231200850805,154.17656856706927
296,1417694.8530783658,0.09234,6854.8231200850805,153.52987362771992
297,1419941.000107309,0.09295,6854.8231200850805,152.7639591293501
298,1407373.2147824983,0.09394,6854.8231200850805,149.81618211438135
299,1406930.5189251122,0.09507,6854.8231200850805,147.98890490429287
300,1408876.3470639153,0.09519,6854.8231200850805,148.0067598554381
301,1411302.0245069512,0.09566,6854.8231200850805,147.53314075966458
302,1411414.3942961504,0.0958,6854.8231200850805,147.32926871567332
303,1416571.8208361366,0.09697,6854.8231200850805,146.08351251275
304,1416070.1737836758,0.09702,6854.8231200850805,145.9565217257963
305,1416374.539535328,0.09745,6854.8231200850805,145.3437187824862
306,1415107.9935533972,0.09778,6854.8231200850805,144.7236647119449
307,1414419.8175498142,0.09785,6854.8231200850805,144.54980250892328
308,1413835.3899998488,0.098,6854.8231200850805,144.26891734692336
309,1409710.970896433,0.09814,6854.8231200850805,143.64285417734186
310,1416333.3806357023,0.09861,6854.8231200850805,143.62979217479995
311,1414645.0361495826,0.0992,6854.8231200850805,142.60534638604662
312,1412388.6022460202,0.09933,6854.8231200850805,142.19154356649756
313,1412080.7822266829,0.09935,6854.8231200850805,142.1319358054034
314,1412747.5082033079,0.09946,6854.8231200850805,142.0417764129608
315,1414988.0036273312,0.09961,6854.8231200850805,142.0528063073317
316,1400349.527514019,0.10014,6854.8231200850805,139.83917790233863
317,1396733.9931386523,0.10043,6854.8231200850805,139.07537520050306
318,1397454.0604421925,0.10049,6854.8231200850805,139.06399248106203
319,1402148.7468852971,0.10127,6854.8231200850805,138.4564774252293
320,1404003.749711917,0.10142,6854.8231200850805,138.4346036000707
321,1406866.2410556749,0.10158,6854.8231200850805,138.49835017283667
322,1407242.6366277821,0.10162,6854.8231200850805,138.48087351188568
323,1407043.8370384783,0.10168,6854.8231200850805,138.3796063177103
324,1405466.002600318,0.10197,6854.8231200850805,137.8313231931272
325,1413998.0588164157,0.10211,6854.8231200850805,138.4779217330737
326,1414102.4757437063,0.10211,6854.8231200850805,138.48814765877057
327,1415073.6196721068,0.1024,6854.8231200850805,138.1907831711042
328,1415715.3193362714,0.1024,6854.8231200850805,138.25344915393276
329,1416598.7399324768,0.10266,6854.8231200850805,137.9893570945331
330,1417111.15366017,0.10269,6854.8231200850805,137.99894377837862
331,1421293.7259407786,0.10298,6854.8231200850805,138.0164814469585
332,1420684.3901769277,0.10336,6854.8231200850805,137.45011514869657
333,1424664.7886764028,0.1038,6854.8231200850805,137.25094303240874
334,1427041.552610511,0.10392,6854.8231200850805,137.32116557068042
